Ip;Porta;Status
183.105.21.177;80;Closed
124.48.56.27;80;Closed
183.34.32.79;80;Closed
16.163.127.208;80;Closed
106.230.202.255;80;Closed
254.108.232.72;80;Closed
204.110.20.107;80;Closed
243.230.205.100;80;Closed
2.109.133.85;80;Closed
1.220.185.86;80;Closed
193.255.6.255;80;Closed
41.194.26.184;80;Closed
84.43.142.191;80;Closed
42.25.120.119;80;Closed
183.204.70.71;80;Closed
149.100.51.43;80;Closed
203.200.51.203;80;Closed
193.241.165.248;80;Closed
51.87.118.44;80;Closed
9.179.207.46;80;Closed
7.240.244.254;80;Closed
112.141.38.67;80;Closed
176.164.10.69;80;Closed
93.169.19.65;80;Closed
27.70.53.218;80;Closed
22.93.216.169;80;Closed
220.146.145.9;80;Closed
64.10.151.199;80;Closed
224.20.97.8;80;Closed
59.127.111.156;80;Closed
148.78.101.110;80;Closed
75.247.215.115;80;Closed
35.175.189.32;80;Closed
89.252.80.42;80;Closed
226.228.172.120;80;Closed
145.31.43.163;80;Closed
108.101.167.11;80;Closed
22.196.52.190;80;Closed
8.118.109.159;80;Closed
137.247.230.62;80;Closed
154.252.213.24;80;Closed
157.129.235.67;80;Closed
72.208.61.24;80;Closed
5.148.161.210;80;Closed
237.229.126.11;80;Closed
90.249.94.13;80;Closed
131.207.253.250;80;Closed
228.231.39.234;80;Closed
2.172.93.74;80;Closed
16.30.27.131;80;Closed
191.37.181.201;80;Open
164.246.113.78;80;Closed
201.172.126.49;80;Closed
202.215.198.165;80;Closed
125.221.28.236;80;Closed
93.179.41.254;80;Closed
247.213.53.106;80;Closed
152.149.168.196;80;Closed
28.77.182.25;80;Closed
231.27.182.190;80;Closed
51.180.87.186;80;Closed
45.57.249.218;80;Open
177.164.110.17;80;Closed
209.201.33.135;80;Closed
125.192.129.95;80;Closed
40.147.70.191;80;Closed
161.135.190.216;80;Closed
134.234.184.235;80;Closed
183.248.78.14;80;Closed
218.65.45.55;80;Closed
220.97.168.31;80;Closed
149.86.232.240;80;Closed
111.222.18.181;80;Closed
112.254.71.170;80;Closed
252.133.99.22;80;Closed
36.252.56.170;80;Closed
238.168.232.9;80;Closed
150.132.9.225;80;Closed
211.93.66.216;80;Closed
47.144.188.178;80;Closed
16.153.232.72;80;Closed
168.220.244.55;80;Closed
224.28.7.222;80;Closed
61.21.103.175;80;Closed
249.210.40.63;80;Closed
132.110.31.26;80;Closed
105.246.119.145;80;Closed
94.197.179.21;80;Closed
92.125.93.31;80;Closed
18.194.62.23;80;Open
175.61.235.88;80;Closed
37.31.27.85;80;Closed
220.31.193.134;80;Closed
110.215.128.85;80;Closed
61.125.74.227;80;Closed
114.246.81.170;80;Closed
59.243.16.31;80;Closed
250.138.243.50;80;Closed
53.14.130.254;80;Closed
199.20.191.214;80;Closed
209.85.244.66;80;Closed
239.224.49.88;80;Closed
22.113.182.166;80;Closed
94.58.134.15;80;Closed
252.209.11.23;80;Closed
97.130.102.204;80;Closed
135.144.8.7;80;Closed
216.107.12.36;80;Closed
28.116.113.166;80;Closed
185.183.254.139;80;Open
88.195.49.42;80;Closed
146.42.223.175;80;Closed
57.53.19.1;80;Closed
39.60.112.77;80;Closed
166.187.35.247;80;Closed
184.103.6.163;80;Closed
235.57.121.186;80;Closed
255.8.33.146;80;Closed
10.72.45.26;80;Closed
124.102.206.247;80;Closed
46.162.98.118;80;Closed
127.117.22.152;80;Open
105.183.112.79;80;Closed
241.97.230.148;80;Closed
104.145.124.80;80;Closed
157.124.155.81;80;Closed
196.46.62.137;80;Closed
189.174.165.243;80;Closed
51.105.228.207;80;Open
131.197.74.11;80;Closed
178.109.159.170;80;Closed
75.5.181.28;80;Closed
204.248.140.73;80;Closed
150.109.22.83;80;Open
247.247.102.200;80;Closed
63.203.164.225;80;Closed
173.43.116.69;80;Closed
175.228.239.19;80;Closed
245.24.136.28;80;Closed
123.63.76.40;80;Closed
183.191.234.1;80;Closed
92.99.157.200;80;Closed
35.184.237.8;80;Closed
142.108.108.189;80;Closed
211.237.68.164;80;Closed
111.105.157.72;80;Closed
120.20.219.49;80;Closed
204.66.53.4;80;Closed
121.81.4.163;80;Closed
69.134.145.231;80;Closed
158.20.127.110;80;Closed
229.81.38.115;80;Closed
185.19.30.116;80;Open
160.221.241.167;80;Closed
163.40.185.83;80;Closed
225.203.94.113;80;Closed
28.136.12.35;80;Closed
253.46.4.22;80;Closed
155.187.169.188;80;Closed
165.155.17.60;80;Closed
76.189.39.168;80;Closed
135.102.60.230;80;Closed
209.24.226.240;80;Closed
102.17.183.148;80;Closed
191.14.79.39;80;Closed
13.70.29.11;80;Closed
160.230.236.50;80;Closed
242.137.144.134;80;Closed
185.51.98.220;80;Closed
15.135.72.220;80;Closed
62.247.245.57;80;Closed
105.135.121.209;80;Closed
128.57.59.175;80;Closed
208.45.50.45;80;Closed
142.132.121.153;80;Closed
85.242.87.10;80;Closed
13.211.161.65;80;Closed
41.52.22.147;80;Closed
113.238.6.108;80;Closed
184.248.240.222;80;Closed
83.160.114.174;80;Closed
143.137.98.124;80;Closed
237.204.209.181;80;Closed
136.209.47.28;80;Closed
137.60.176.34;80;Closed
61.159.143.200;80;Closed
8.202.186.242;80;Closed
27.183.237.55;80;Closed
231.163.42.23;80;Closed
135.228.111.65;80;Closed
27.34.254.106;80;Closed
181.19.105.226;80;Closed
188.183.30.247;80;Closed
191.234.5.13;80;Closed
191.209.87.97;80;Closed
126.183.30.48;80;Closed
135.190.8.91;80;Closed
116.95.252.56;80;Closed
43.119.231.51;80;Closed
147.5.203.185;80;Closed
